,rest_names,rest_urls,rest_ratings,price for two,rest_crusine
149,Daspalla Executive Court,https://www.zomato.com/visakhapatnam/daspalla-executive-court-ram-nagar-vizag/order,4.1,₹200 for one,"North Indian, Chinese, Continental, South Indian"
150,The Belgian Waffle Co.,https://www.zomato.com/visakhapatnam/the-belgian-waffle-co-siripuram-vizag/order,4.5,₹200 for one,"Waffle, Pancake, Desserts, Ice Cream, Beverages"
151,Gautam Restaurant & Sweets,https://www.zomato.com/visakhapatnam/gautam-restaurant-sweets-jagadamba-junction-vizag/order,3.8,₹200 for one,"South Indian, North Indian, Mithai, Chinese, Street Food"
152,Wonton Momos,https://www.zomato.com/wonton-momos-food-truck/order,3.4,₹200 for one,Momos
153,Wonton Momos,https://www.zomato.com/visakhapatnam/wonton-momos-seethammadhara-vizag/order,3.8,₹100 for one,"Momos, Rolls"
154,4 Seasons,https://www.zomato.com/visakhapatnam/4-seasons-asilmetta-vizag/order,4.0,₹100 for one,"North Indian, Chinese, Fast Food, Biryani, Desserts, Beverages, Shake, Sichuan"
155,Pizza Day,https://www.zomato.com/visakhapatnam/pizza-day-balayya-sastri-layout-vizag/order,3.9,₹100 for one,"Pizza, Fast Food"
156,Home Food Co Bakery,https://www.zomato.com/visakhapatnam/home-food-co-bakery-mvp-colony-vizag/order,4.0,₹100 for one,"Bakery, Desserts"
157,"Fresh Choice- Patisserie, Bakery & Café",https://www.zomato.com/visakhapatnam/fresh-choice-patisserie-bakery-café-siripuram-vizag/order,4.2,₹100 for one,"Bakery, Cafe, Shake"
158,Sri Sairam Tiffin & Meals,https://www.zomato.com/visakhapatnam/sri-sairam-tiffin-meals-maddilapalem-vizag/order,3.7,₹100 for one,South Indian
